### CGp=(-7.500,-7.500,-1.000)     CGw=(0.000,0.000,1.000) 
0 32.153 19.500 34.546  0.90  -0.636 0.000 -0.636  31.516 19.500 33.910
0 31.516 19.500 33.910  0.00  -0.000 0.000 -0.000  31.516 19.500 33.910
1 31.516 19.500 33.910  3.43  -2.428 0.000 -2.428  29.088 19.500 31.482
3 29.088 19.500 31.482  6.22  -4.396 0.000 -4.396  24.693 19.500 27.086
3 24.693 19.500 27.086  0.00  -0.000 0.000 -0.000  24.693 19.500 27.086
1 24.693 19.500 27.086  1.01  -0.714 0.000 -0.714  23.978 19.500 26.372
#  entering Box at 0.00
0 23.978 19.500 26.372  0.00  -0.000 0.000 -0.000  23.978 19.500 26.372
32 23.978 19.500 26.372  7.60  -5.372 0.000 -5.372  18.607 19.500 21.000
57 18.607 19.500 21.000  2.26  -1.600 0.000 -1.600  17.007 19.500 19.400
# collide dist=6.99e-01
56 17.007 19.500 19.400  0.70  -0.494 0.000 -0.494  16.512 19.500 18.906
57 16.512 19.500 18.906  0.32  0.034 -0.093 -0.306  16.546 19.407 18.600
56 16.546 19.407 18.600  2.79  0.295 -0.807 -2.650  16.841 18.600 15.950
57 16.841 18.600 15.950  0.16  0.017 -0.046 -0.150  16.858 18.554 15.800
# collide dist=1.40e-01
56 16.858 18.554 15.800  0.14  0.015 -0.041 -0.133  16.873 18.514 15.667
57 16.873 18.514 15.667  0.41  -0.273 -0.290 0.096  16.600 18.224 15.763
# collide dist=7.83e-01
56 16.600 18.224 15.763  0.78  -0.521 -0.555 0.184  16.079 17.669 15.946
# collide dist=6.66e-02
55 16.079 17.669 15.946  0.07  -0.060 -0.010 0.027  16.019 17.659 15.974
# collide dist=1.71e+00
56 16.019 17.659 15.974  1.71  1.655 -0.031 0.437  17.674 17.628 16.411
57 17.674 17.628 16.411  0.41  0.090 0.072 0.389  17.765 17.700 16.800
# collide dist=2.20e+00
56 17.765 17.700 16.800  2.20  0.488 0.387 2.106  18.253 18.087 18.906
57 18.253 18.087 18.906  0.16  0.018 -0.123 -0.106  18.271 17.964 18.800
# collide dist=2.10e-01
56 18.271 17.964 18.800  0.21  0.024 -0.158 -0.136  18.295 17.806 18.664
57 18.295 17.806 18.664  0.12  -0.095 -0.009 0.071  18.200 17.796 18.735
# collide dist=5.14e-01
56 18.200 17.796 18.735  0.51  -0.411 -0.040 0.306  17.789 17.757 19.041
57 17.789 17.757 19.041  0.35  -0.189 -0.290 0.046  17.600 17.467 19.087
# collide dist=1.96e-01
56 17.600 17.467 19.087  0.20  -0.106 -0.163 0.026  17.494 17.304 19.113
57 17.494 17.304 19.113  0.15  0.106 -0.050 0.101  17.600 17.255 19.214
# collide dist=1.72e-01
56 17.600 17.255 19.214  0.17  0.118 -0.055 0.112  17.718 17.200 19.326
57 17.718 17.200 19.326  0.21  -0.046 0.200 0.017  17.671 17.400 19.343
# collide dist=3.40e-01
56 17.671 17.400 19.343  0.34  -0.077 0.331 0.028  17.595 17.731 19.371
57 17.595 17.731 19.371  0.25  -0.103 -0.025 0.229  17.492 17.706 19.600
# collide dist=3.62e-03
56 17.492 17.706 19.600  0.00  -0.001 -0.000 0.003  17.490 17.705 19.603
57 17.490 17.705 19.603  0.16  0.110 -0.104 -0.037  17.600 17.601 19.566
# collide dist=1.17e+00
